"collegeid";"collegename"
"134";"France_7350"
"135";"UK_8902"
"136";"Australia_3991"
"137";"Germany_4718"
"138";"Japan_8729"
"139";"Germany_6386"
"140";"Japan_6775"
"141";"USA_8256"
"142";"France_5888"
"143";"UK_1568"
"144";"France_3813"
"145";"India_4330"
"146";"Japan_2959"
"147";"India_8264"
"148";"China_4394"
"149";"Japan_9105"
"150";"Japan_7450"
"151";"France_5619"
"152";"UK_3709"
"153";"Japan_1900"
"154";"Japan_2726"
"155";"Brazil_7705"
"156";"USA_4871"
"157";"China_5208"
"158";"India_1118"
"159";"Brazil_1369"
"160";"China_6948"
"161";"India_2703"
"162";"Brazil_6825"
"163";"China_6353"
"164";"Brazil_5284"
"165";"Brazil_7233"
"166";"UK_8875"
"167";"Germany_4538"
"168";"China_6352"
"169";"China_7858"
"170";"Japan_2126"
"171";"France_5677"
"172";"Brazil_7727"
"173";"USA_5726"
"174";"USA_3262"
"175";"China_1450"
"176";"UK_7189"
"177";"France_6549"
"178";"Germany_5729"
"179";"Canada_4913"
"180";"France_5792"
"181";"UK_2829"
"182";"USA_1639"
"183";"UK_5686"
"184";"China_3285"
"185";"UK_2249"
"186";"China_4167"
"187";"Germany_4932"
"188";"Japan_2220"
"189";"Japan_6784"
"190";"Australia_9923"
"191";"Brazil_1482"
"192";"Brazil_1866"
"193";"UK_4125"
"194";"UK_7577"
"195";"China_7838"
"196";"Germany_8739"
"197";"India_5507"
"198";"Germany_7992"
"199";"France_3292"
"200";"China_8625"
"201";"India_8249"
"202";"Brazil_7103"
"203";"UK_6730"
"204";"Australia_9953"
"205";"Brazil_2546"
"206";"Australia_3790"
"207";"Germany_4110"
"208";"Australia_7973"
"209";"China_6504"
"210";"Japan_6822"
"211";"USA_8086"
"212";"France_2249"
"213";"USA_5967"
"214";"USA_3127"
"215";"Japan_5721"
"216";"Japan_8562"
"217";"USA_3201"
"218";"China_1757"
"219";"USA_4582"
"220";"France_8249"
"221";"Canada_7490"
"222";"UK_5069"
"223";"Germany_1910"
"224";"India_8666"
"225";"USA_3474"
"226";"Brazil_6013"
"227";"USA_1989"
"228";"India_1682"
"229";"USA_5067"
"230";"Brazil_9139"
"231";"UK_2045"
"232";"Japan_1601"
"233";"Canada_3023"
"234";"Canada_7026"
"235";"France_7290"
"236";"Brazil_3275"
"237";"Japan_5631"
"238";"Japan_5510"
"239";"Japan_9013"
"240";"Germany_4657"
"241";"China_7368"
"242";"USA_8080"
"243";"Australia_6224"
"244";"China_9545"
"245";"France_8336"
"246";"Germany_9488"
"247";"Canada_6242"
"248";"India_6222"
"249";"China_8032"
"250";"China_6628"
"251";"China_8645"
"252";"India_5613"
"253";"France_1851"
"254";"Brazil_2645"
"255";"Canada_6608"
"256";"Germany_2744"
"257";"China_1670"
"258";"USA_7048"
"259";"Brazil_1878"
"260";"India_8248"
"261";"UK_4826"
"262";"Canada_8458"
"263";"Germany_9272"
"264";"USA_1053"
"265";"France_8564"
"266";"Germany_9246"
"267";"USA_8601"
"268";"Brazil_8201"
"269";"Germany_6417"
"270";"Brazil_3125"
"271";"China_1630"
"272";"India_2841"
"273";"China_3316"
"274";"UK_1438"
"275";"Australia_6492"
"276";"UK_2413"
"277";"China_5420"
"278";"India_9264"
"279";"Australia_1250"
"280";"India_3381"
"281";"USA_7995"
"282";"France_4476"
"283";"Australia_4094"
"284";"Brazil_1498"
"285";"Brazil_9617"
"286";"Australia_7257"
"287";"France_6339"
"288";"Australia_1128"
"289";"UK_9389"
"290";"Japan_6247"
"291";"Brazil_7186"
"292";"China_8328"
"293";"China_3558"
"294";"USA_1654"
"295";"Brazil_8411"
"296";"Japan_9932"
"297";"Brazil_5019"
"298";"France_5967"
"299";"India_5206"
"300";"Canada_9210"
"301";"China_2145"
"302";"Australia_2873"
"303";"India_8288"
"304";"China_5618"
"305";"Canada_5152"
"306";"China_2336"
"307";"Japan_7014"
"308";"Germany_4250"
"309";"Australia_8636"
"310";"India_8829"
"311";"USA_9039"
"312";"USA_2276"
"313";"Canada_6902"
"314";"Japan_2658"
"315";"India_6390"
"316";"UK_7498"
"317";"Brazil_3950"
"318";"UK_7579"
"319";"Brazil_9458"
"320";"Canada_3495"
"321";"China_8277"
"322";"Brazil_8826"
"323";"China_3204"
"324";"UK_8441"
"325";"Australia_5552"
"326";"Australia_2519"
"327";"Brazil_6906"
"328";"China_9550"
"329";"Australia_2292"
"330";"France_2604"
"331";"Australia_1855"
"332";"Germany_2806"
"333";"France_9625"
"334";"Canada_4630"
"335";"Canada_1356"
"336";"Germany_2087"
"337";"Canada_9452"
"338";"UK_7821"
"339";"India_9524"
"340";"Japan_2578"
"341";"India_8278"
"342";"Brazil_8074"
"343";"Germany_6912"
"344";"India_4672"
"345";"Brazil_8558"
"346";"China_3558"
"347";"USA_8588"
"348";"China_5148"
"349";"UK_2529"
"350";"USA_1720"
"351";"India_9921"
"352";"Brazil_2024"
"353";"USA_3170"
"354";"Brazil_6023"
"355";"Canada_4904"
"356";"France_2983"
"357";"France_3545"
"358";"Japan_4518"
"359";"India_8943"
"360";"Australia_3250"
"361";"USA_8279"
"362";"China_2050"
"363";"Germany_9436"
"364";"Australia_7836"
"365";"Brazil_9974"
"366";"Germany_1992"
"367";"Canada_2086"
"368";"China_3710"
"369";"Australia_6726"
"370";"Canada_4408"
"371";"USA_5221"
"372";"UK_5535"
"373";"France_4174"
"374";"India_2493"
"375";"Japan_9800"
"376";"Brazil_1777"
"377";"India_8573"
"378";"USA_2895"
"379";"Japan_4851"
"380";"Australia_3113"
"381";"Canada_6487"
"382";"Canada_5250"
"383";"France_5366"
"384";"Japan_9701"
"385";"China_1030"
"386";"Japan_4261"
"387";"China_8699"
"388";"UK_9926"
"389";"Canada_2317"
"390";"India_8691"
"391";"India_9288"
"392";"Australia_8249"
"393";"India_1148"
"394";"Brazil_1569"
"395";"Brazil_1491"
"396";"China_5218"
"397";"USA_4727"
"398";"France_6849"
"399";"France_6602"
"400";"France_9799"
"401";"USA_9774"
"402";"Australia_7514"
"403";"Japan_9811"
"404";"India_1790"
"405";"Germany_8709"
"406";"India_5376"
"407";"Australia_5757"
"408";"Germany_7001"
"409";"UK_9222"
"410";"Japan_4208"
"411";"UK_5953"
"412";"UK_3248"
"413";"Australia_8146"
"414";"India_8541"
"415";"India_7979"
"416";"China_2730"
"417";"Brazil_7063"
"418";"Brazil_1629"
"419";"Brazil_3386"
"420";"Japan_4686"
"421";"USA_4563"
"422";"Japan_8518"
"423";"Australia_3788"
"424";"Germany_4319"
"425";"Germany_2964"
"426";"Japan_8450"
"427";"India_7884"
"428";"Japan_1740"
"429";"Australia_7118"
"430";"Canada_2581"
"431";"USA_2982"
"432";"Japan_6433"
"433";"India_5396"
"434";"Canada_8621"
"435";"Germany_7251"
"436";"USA_6188"
"437";"Germany_7307"
"438";"India_2142"
"439";"Germany_1947"
"440";"India_8715"
"441";"USA_4077"
"442";"USA_8023"
"443";"Germany_7753"
"444";"Germany_3113"
"445";"Japan_7362"
"446";"Germany_3870"
"447";"USA_7272"
"448";"India_4348"
"449";"France_8175"
"450";"Canada_8186"
"451";"Canada_9969"
"452";"USA_7735"
"453";"Canada_3243"
"454";"Australia_1018"
"455";"UK_8164"
"456";"India_1948"
"457";"Canada_8543"
"458";"Germany_9789"
"459";"Australia_1114"
"460";"Brazil_5064"
"461";"France_5200"
"462";"Japan_8233"
"463";"India_1626"
"464";"India_1804"
"465";"Canada_1643"
"466";"France_5992"
"467";"USA_9061"
"468";"USA_1244"
"469";"China_5082"
"470";"USA_4371"
"471";"Germany_1310"
"472";"Brazil_3551"
"473";"China_1680"
"474";"India_8976"
"475";"Australia_2419"
"476";"Japan_1189"
"477";"India_9817"
"478";"Brazil_4838"
"479";"France_3564"
"480";"Brazil_6179"
"481";"Canada_4339"
"482";"USA_8834"
"483";"China_2807"
"484";"China_9825"
"485";"China_8423"
"486";"Brazil_8606"
"487";"Japan_6712"
"488";"Canada_5083"
"489";"Germany_9180"
"490";"USA_2670"
"491";"Australia_4125"
"492";"France_9340"
"493";"Brazil_5335"
"494";"Brazil_8309"
"495";"France_1867"
"496";"UK_5701"
"497";"China_1519"
"498";"USA_4562"
"499";"Japan_1014"
"500";"India_5207"
"501";"India_8818"
"502";"USA_3678"
"503";"UK_8533"
"504";"Australia_3035"
"505";"India_7871"
"506";"France_5245"
"507";"China_1817"
"508";"Australia_5317"
"509";"Australia_3684"
"510";"Germany_4140"
"511";"Australia_9503"
"512";"France_8298"
"513";"Germany_9140"
"514";"USA_8980"
"515";"India_7374"
"516";"Australia_5278"
"517";"Germany_6929"
"518";"India_3155"
"519";"India_6595"
"520";"UK_6904"
"521";"France_8823"
"522";"Japan_6501"
"523";"USA_8122"
"524";"France_5804"
"525";"UK_1191"
"526";"Australia_6404"
"527";"India_2955"
"528";"India_7514"
"529";"Australia_8181"
"530";"Brazil_6813"
"531";"Brazil_1830"
"532";"India_9453"
"533";"France_1134"
"534";"Australia_8472"
"535";"India_6763"
"536";"USA_7258"
"537";"USA_5033"
"538";"UK_3308"
"539";"France_8558"
"540";"Japan_6837"
"541";"Australia_7892"
"542";"Brazil_7413"
"543";"USA_6817"
"544";"China_8816"
"545";"India_7157"
"546";"Canada_2646"
"547";"USA_3872"
"548";"India_4756"
"549";"Brazil_1516"
"550";"China_4008"
"551";"France_8515"
"552";"Germany_8711"
"553";"Brazil_7887"
"554";"Canada_8456"
"555";"Germany_8690"
"556";"Brazil_8004"
"557";"Canada_1879"
"558";"Japan_8669"
"559";"Australia_3796"
"560";"Germany_3115"
"561";"Brazil_7022"
"562";"China_6389"
"563";"Brazil_4196"
"564";"Canada_4223"
"565";"UK_6486"
"566";"Canada_4232"
"567";"India_4038"
"568";"Germany_2639"
"569";"France_4802"
"570";"Australia_4483"
"571";"UK_5966"
"572";"UK_1014"
"573";"Canada_1583"
"574";"Japan_2955"
"575";"India_5902"
"576";"Japan_4554"
"577";"USA_6416"
"578";"France_8925"
"579";"China_3826"
"580";"USA_1383"
"581";"Japan_9852"
"582";"India_3737"
"583";"Australia_9343"
"584";"France_8886"
"585";"China_3745"
"586";"USA_9197"
"587";"India_6041"
"588";"Japan_5001"
"589";"Australia_4657"
"590";"UK_7483"
"591";"Japan_1268"
"592";"Canada_1752"
"593";"China_3881"
"594";"Germany_3977"
"595";"Canada_4645"
"596";"USA_7462"
"597";"India_9970"
"598";"Brazil_5286"
"599";"China_1711"
"600";"Canada_2939"
"601";"Canada_4450"
"602";"Canada_4096"
"603";"Brazil_1786"
"604";"UK_6073"
"605";"UK_9317"
"606";"Brazil_5365"
"607";"Brazil_9091"
"608";"Brazil_7454"
"609";"UK_5811"
"610";"Brazil_7334"
"611";"UK_6052"
"612";"India_3987"
"613";"Japan_3289"
"614";"Australia_8612"
"615";"Canada_8026"
"616";"USA_2984"
"617";"China_2470"
"618";"France_2085"
"619";"India_8380"
"620";"UK_5465"
"621";"France_1419"
"622";"China_4783"
"623";"UK_6107"
"624";"UK_9989"
"625";"USA_8833"
"626";"Brazil_5929"
"627";"Canada_6155"
"628";"USA_9589"
"629";"Australia_9805"
"630";"China_9996"
"631";"Japan_2687"
"632";"India_6084"
"633";"China_1420"
"634";"UK_8238"
"635";"India_8740"
"636";"USA_1930"
"637";"USA_3004"
"638";"China_3715"
"639";"USA_7561"
"640";"Canada_2217"
"641";"Brazil_1090"
"642";"Germany_9764"
"643";"Japan_4708"
"644";"India_1579"
"645";"USA_5637"
"646";"USA_2903"
"647";"Japan_4429"
"648";"India_4032"
"649";"Australia_9748"
"650";"Japan_4924"
"651";"USA_5832"
"652";"USA_3495"
"653";"Brazil_4924"
"654";"Japan_8100"
"655";"India_1583"
"656";"India_2178"
"657";"Germany_9138"
"658";"USA_1025"
"659";"France_9246"
"660";"Brazil_4445"
"661";"Germany_1257"
"662";"Brazil_1870"
"663";"UK_6225"
"664";"UK_2446"
"665";"Brazil_8450"
"666";"France_3541"
"667";"China_9241"
"668";"Australia_8713"
"669";"Australia_1378"
"670";"Canada_1769"
"671";"China_3217"
"672";"USA_9200"
"673";"USA_1856"
"674";"UK_6465"
"675";"USA_7145"
"676";"USA_5572"
"677";"Canada_5558"
"678";"UK_1457"
"679";"France_4664"
"680";"France_3509"
"681";"Brazil_6693"
"682";"Germany_5600"
"683";"USA_1167"
"684";"China_7771"
"685";"Germany_2153"
"686";"Canada_6977"
"687";"Japan_5191"
"688";"Canada_8840"
"689";"France_4237"
"690";"India_9955"
"691";"UK_7007"
"692";"France_7548"
"693";"India_8359"
"694";"India_9896"
"695";"Japan_4798"
"696";"India_2104"
"697";"Australia_5803"
"698";"France_1325"
"699";"France_8953"
"700";"Japan_5188"
"701";"Germany_9008"
"702";"India_7451"
"703";"Australia_6512"
"704";"India_2664"
"705";"UK_1007"
"706";"Canada_4161"
"707";"UK_7005"
"708";"France_5654"
"709";"India_8387"
"710";"Brazil_9468"
"711";"India_5421"
"712";"Canada_8791"
"713";"France_1250"
"714";"France_7641"
"715";"UK_7920"
"716";"Brazil_9721"
"717";"Canada_5416"
"718";"Japan_6415"
"719";"USA_1141"
"720";"France_8958"
"721";"Japan_6931"
"722";"Australia_6070"
"723";"Brazil_7964"
"724";"USA_6689"
"725";"France_1418"
"726";"Germany_2737"
"727";"France_3255"
"728";"France_1221"
"729";"Germany_2906"
"730";"Japan_8225"
"731";"UK_4123"
"732";"Brazil_4311"
"733";"USA_8802"
"734";"China_2456"
"735";"France_3455"
"736";"China_7542"
"737";"France_4212"
"738";"Canada_3145"
"739";"Germany_3847"
"740";"Australia_8802"
"741";"Canada_6625"
"742";"Australia_1660"
"743";"USA_7923"
"744";"Canada_9602"
"745";"India_3141"
"746";"USA_9256"
"747";"Canada_3607"
"748";"Brazil_3229"
"749";"China_1895"
"750";"USA_6943"
"751";"China_6865"
"752";"India_4948"
"753";"UK_5234"
"754";"Germany_9919"
"755";"France_6366"
"756";"Germany_4683"
"757";"China_4697"
"758";"Brazil_2090"
"759";"UK_6447"
"760";"India_4692"
"761";"UK_4126"
"762";"UK_9169"
"763";"France_2090"
"764";"Brazil_2194"
"765";"UK_4884"
"766";"Canada_1048"
"767";"Canada_2965"
"768";"Australia_1907"
"769";"Germany_9552"
"770";"Australia_2327"
"771";"France_3248"
"772";"Japan_4778"
"773";"USA_7558"
"774";"India_1609"
"775";"USA_7549"
"776";"India_2955"
"777";"Brazil_6201"
"778";"Australia_1232"
"779";"India_3595"
"780";"Canada_3220"
"781";"France_1841"
"782";"China_5991"
"783";"Germany_7266"
"784";"India_3150"
"785";"UK_3447"
"786";"Australia_1148"
"787";"UK_8796"
"788";"Australia_3797"
"789";"Germany_1987"
"790";"Australia_3577"
"791";"Germany_5084"
"792";"Brazil_1409"
"793";"France_8024"
"794";"USA_4774"
"795";"Japan_9504"
"796";"Brazil_2619"
"797";"Germany_9220"
"798";"India_7612"
"799";"Australia_7662"
"800";"France_5069"
"801";"Japan_9356"
"802";"Japan_6140"
"803";"Brazil_5472"
"804";"UK_3718"
"805";"Japan_3386"
"806";"Germany_3883"
"807";"Australia_7314"
"808";"France_5016"
"809";"China_2483"
"810";"China_2038"
"811";"Germany_7379"
"812";"Australia_4856"
"813";"Canada_7868"
"814";"USA_6788"
"815";"Japan_4165"
"816";"China_9051"
"817";"USA_8488"
"818";"Brazil_7821"
"819";"Canada_9203"
"820";"Brazil_5468"
"821";"UK_3074"
"822";"Australia_9192"
"823";"France_2998"
"824";"Australia_1231"
"825";"USA_5404"
"826";"USA_1606"
"827";"India_8876"
"828";"Australia_1191"
"829";"USA_5754"
"830";"Canada_8619"
"831";"Australia_3968"
"832";"France_6823"
"833";"Japan_3937"
"834";"Japan_4403"
"835";"Brazil_3229"
"836";"Japan_3734"
"837";"Japan_5887"
"838";"Japan_6254"
"839";"UK_2851"
"840";"India_6890"
"841";"USA_6259"
"842";"France_2917"
"843";"Canada_8096"
"844";"India_1581"
"845";"India_2169"
"846";"Germany_8994"
"847";"India_7374"
"848";"Australia_5161"
"849";"Australia_4697"
"850";"UK_6801"
"851";"Canada_5951"
"852";"Brazil_6870"
"853";"Japan_4974"
"854";"USA_5689"
"855";"India_9318"
"856";"Australia_8851"
"857";"Australia_3309"
"858";"USA_1209"
"859";"Japan_2194"
"860";"China_3810"
"861";"Australia_7652"
"862";"Japan_3101"
"863";"India_8047"
"864";"Japan_7988"
"865";"India_7348"
"866";"France_4736"
"867";"France_5862"
"868";"India_5749"
"869";"France_2474"
"870";"USA_4273"
"871";"Australia_4926"
"872";"Canada_1143"
"873";"Canada_4394"
"874";"India_1206"
"875";"India_1378"
"876";"USA_6325"
"877";"France_8777"
"878";"China_1838"
"879";"Canada_9928"
"880";"USA_1094"
"881";"Germany_3440"
"882";"UK_1519"
"883";"Australia_6901"
"884";"USA_9451"
"885";"USA_9473"
"886";"Canada_4928"
"887";"Germany_8380"
"888";"Brazil_6872"
"889";"China_1149"
"890";"Japan_4998"
"891";"USA_3615"
"892";"India_5706"
"893";"Australia_3894"
"894";"Germany_4626"
"895";"France_7857"
"896";"India_8652"
"897";"USA_3687"
"898";"UK_1177"
"899";"USA_7196"
"900";"UK_9127"
"901";"France_9648"
"902";"Canada_2171"
"903";"India_8432"
"904";"UK_5662"
"905";"France_4701"
"906";"Canada_2364"
"907";"UK_2613"
"908";"USA_1374"
"909";"Brazil_2594"
"910";"Australia_9931"
"911";"India_3341"
"912";"USA_1100"
"913";"France_8832"
"914";"Japan_4911"
"915";"Australia_4829"
"916";"India_2560"
"917";"France_5190"
"918";"France_3576"
"919";"Brazil_3231"
"920";"China_2211"
"921";"Australia_3936"
"922";"France_9888"
"923";"USA_8445"
"924";"Japan_8471"
"925";"USA_3940"
"926";"USA_7623"
"927";"Canada_1387"
"928";"Germany_2753"
"929";"France_3834"
"930";"Brazil_3064"
"931";"Japan_5721"
"932";"Japan_9133"
"933";"Germany_5042"
"934";"UK_4606"
"935";"USA_6148"
"936";"Australia_3361"
"937";"USA_8529"
"938";"Brazil_5816"
"939";"Canada_6738"
"940";"Germany_3677"
"941";"USA_9229"
"942";"India_7266"
"943";"Canada_1001"
"944";"Australia_7625"
"945";"Japan_9864"
"946";"India_1791"
"947";"Germany_8267"
"948";"China_5948"
"949";"Australia_2614"
"950";"China_5131"
"951";"Brazil_1975"
"952";"Brazil_9345"
"953";"India_6788"
"954";"UK_8868"
"955";"Germany_8399"
"956";"Japan_7782"
"957";"Brazil_9278"
"958";"India_7244"
"959";"USA_9135"
"960";"UK_9370"
"961";"Brazil_5814"
"962";"India_8144"
"963";"China_3417"
"964";"USA_9627"
"965";"Australia_8160"
"966";"UK_5402"
"967";"France_2198"
"968";"USA_2152"
"969";"Australia_3112"
"970";"Canada_3758"
"971";"UK_7402"
"972";"China_7829"
"973";"Germany_1133"
"974";"Japan_5079"
"975";"USA_5301"
"976";"Brazil_1023"
"977";"Australia_7720"
"978";"Japan_2488"
"979";"China_4802"
"980";"China_5839"
"981";"Germany_4730"
"982";"Brazil_1326"
"983";"Japan_9634"
"984";"UK_9115"
"985";"Japan_5476"
"986";"France_4020"
"987";"UK_9092"
"988";"France_1580"
"989";"Japan_2192"
"990";"Japan_9432"
"991";"Japan_6478"
"992";"UK_2202"
"993";"Japan_1540"
"994";"Canada_9447"
"995";"India_3640"
"996";"Germany_2134"
"997";"Germany_7785"
"998";"Germany_2712"
"999";"Germany_8479"
"1000";"China_1687"
"1001";"Canada_9758"
"1002";"USA_8217"
"1003";"France_5312"
"1004";"Japan_8986"
"1005";"Germany_5924"
"1006";"Germany_4688"
"1007";"Brazil_8757"
"1008";"Brazil_7196"
"1009";"Brazil_3924"
"1010";"UK_9801"
"1011";"UK_6904"
"1012";"France_6976"
"1013";"China_7401"
"1014";"Australia_5850"
"1015";"Japan_8544"
"1016";"USA_1682"
"1017";"India_9071"
"1018";"Germany_4215"
"1019";"France_7444"
"1020";"UK_4505"
"1021";"Canada_9604"
"1022";"USA_6938"
"1023";"UK_9381"
"1024";"China_7811"
"1025";"Japan_9975"
"1026";"India_2236"
"1027";"Japan_6710"
"1028";"Australia_8381"
"1029";"India_8845"
"1030";"USA_2624"
"1031";"Germany_6253"
"1032";"Japan_5190"
"1033";"Australia_6350"
"1034";"China_1943"
"1035";"USA_6777"
"1036";"Japan_3273"
"1037";"Australia_1192"
"1038";"India_2193"
"1039";"France_3940"
"1040";"UK_1132"
"1041";"India_4059"
"1042";"Germany_3928"
"1043";"Canada_2100"
"1044";"UK_4565"
"1045";"USA_4841"
"1046";"China_5891"
"1047";"Germany_5361"
"1048";"USA_3844"
"1049";"USA_6799"
"1050";"Brazil_4580"
"1051";"Australia_7839"
"1052";"Japan_8731"
"1053";"Germany_5340"
"1054";"USA_4891"
"1055";"Japan_8864"
"1056";"Germany_7401"
"1057";"USA_6851"
"1058";"China_9563"
"1059";"Germany_3050"
"1060";"Brazil_7876"
"1061";"USA_5195"
"1062";"Brazil_9822"
"1063";"Canada_4876"
"1064";"Australia_4253"
"1065";"Brazil_9928"
"1066";"France_6366"
"1067";"Germany_4607"
"1068";"Japan_3245"
"1069";"USA_2196"
"1070";"USA_3527"
"1071";"UK_2248"
"1072";"China_1971"
"1073";"Germany_8215"
"1074";"China_3355"
"1075";"USA_7823"
"1076";"Germany_1438"
"1077";"Brazil_1927"
"1078";"UK_5677"
"1079";"China_9517"
"1080";"Japan_3729"
"1081";"Japan_3203"
"1082";"Australia_9308"
"1083";"Japan_4020"
"1084";"Brazil_1612"
"1085";"Brazil_3454"
"1086";"Japan_6117"
"1087";"Brazil_4139"
"1088";"Australia_5597"
"1089";"Japan_6098"
"1090";"UK_2488"
"1091";"UK_1388"
"1092";"Germany_3982"
"1093";"USA_9177"
"1094";"India_3529"
"1095";"Germany_2453"
"1096";"Japan_5857"
"1097";"Brazil_8205"
"1098";"Australia_4194"
"1099";"China_5849"
"1100";"France_1388"
"1101";"Japan_9737"
"1102";"UK_1512"
"1103";"Australia_4099"
"1104";"Brazil_1287"
"1105";"China_5558"
"1106";"Australia_4032"
"1107";"France_8586"
"1108";"France_9848"
"1109";"Germany_1850"
"1110";"Canada_9518"
"1111";"UK_2195"
"1112";"Japan_1052"
"1113";"UK_9228"
"1114";"Japan_3873"
"1115";"China_8547"
"1116";"UK_1529"
"1117";"France_6132"
"1118";"Canada_3754"
"1119";"UK_7148"
"1120";"Japan_3026"
"1121";"USA_2163"
"1122";"USA_4870"
"1123";"Japan_1063"
"1124";"India_3374"
"1125";"USA_9535"
"1126";"Canada_6811"
"1127";"Australia_7602"
"1128";"Japan_2140"
"1129";"Japan_8240"
"1130";"USA_2302"
"1131";"Australia_5580"
"1132";"Australia_4313"
"1133";"China_4732"
"1134";"UK_6100"
"1135";"UK_1319"
"1136";"Australia_6156"
"1137";"Brazil_6097"
"1138";"Canada_6447"
"1139";"Canada_4628"
"1140";"Canada_2920"
"1141";"Canada_4824"
"1142";"Germany_2377"
"1143";"Australia_1762"
"1144";"Germany_3078"
"1145";"Japan_6641"
"1146";"USA_8476"
"1147";"China_2283"
"1148";"France_3087"
"1149";"France_2117"
"1150";"UK_3438"
"1151";"France_1276"
"1152";"Germany_2305"
"1153";"Australia_5325"
"1154";"Canada_8425"
"1155";"Australia_4160"
"1156";"Japan_3209"
"1157";"Canada_5543"
"1158";"China_4447"
"1159";"France_7613"
"1160";"UK_5624"
"1161";"China_2346"
"1162";"France_2961"
"1163";"Germany_8144"
"1164";"France_2091"
"1165";"USA_2441"
"1166";"Germany_9567"
"1167";"Australia_6805"
"1168";"Australia_7194"
"1169";"Germany_3439"
"1170";"UK_9605"
"1171";"UK_7556"
"1172";"Brazil_3115"
"1173";"France_9196"
"1174";"UK_2684"
"1175";"UK_4247"
"1176";"Brazil_2544"
"1177";"Australia_1119"
"1178";"USA_7364"
"1179";"India_3855"
"1180";"Australia_6979"
"1181";"Australia_7912"
"1182";"China_6519"
"1183";"China_7659"
"1184";"France_5861"
"1185";"India_6426"
"1186";"Brazil_6343"
"1187";"Australia_8685"
"1188";"Canada_8938"
"1189";"France_1656"
"1190";"China_5021"
"1191";"India_8511"
"1192";"India_8513"
"1193";"UK_4163"
"1194";"Brazil_2482"
"1195";"Canada_9700"
"1196";"UK_8964"
"1197";"France_2026"
"1198";"UK_2825"
"1199";"Canada_8451"
"1200";"Canada_9148"
"1201";"Japan_7748"
"1202";"Japan_1888"
"1203";"Germany_2147"
"1204";"USA_5797"
"1205";"USA_9836"
"1206";"France_8710"
"1207";"Japan_4974"
"1208";"Germany_7128"
"1209";"Canada_9673"
"1210";"Canada_2635"
"1211";"Canada_8007"
